benchmark,status,reason,policy,line_size,l1d_size,l1d_assoc,l2_size,l2_assoc,prefetch_buffer_lines,stream_slots,max_stream_length,epoch_reads,stream_lifetime,prefetch_latency,miss_latency,l2_hit_latency,hit_latency,write_latency,base_cost,max_prefetch_depth,bootstrap_next_line,selected_cycles,baseline_cycles,speedup,accuracy,coverage
libquantum,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,10933935214,10933935214,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,10934504231,10934504231,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,10933797385,10933797385,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,10933545488,10933545488,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,10933816392,10933816392,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,10933742239,10933742239,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,10938981872,10938981872,1.000000,0.0000,0.0000
libquantum,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,10937958624,10937958624,1.000000,0.0000,0.0000
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,1874896746,10934001747,5.831789,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,1875622882,10934647787,5.829875,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,1874720235,10933627832,5.832138,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,1879872152,10938906667,5.818963,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,1874871241,10933941500,5.831836,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,1874788185,10933715109,5.831974,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,1874555807,10933807203,5.832746,0.9936,0.9923
libquantum,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,1875062466,10933947999,5.831245,0.9936,0.9923
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,2181342417,10933721302,5.012382,0.9987,0.9917
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,3995291017,10942943920,2.738960,0.9932,0.9915
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,3985991187,10933800425,2.743057,0.9925,0.9915
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,2181673965,10933968609,5.011734,0.9987,0.9917
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,2176230002,10934012291,5.024291,0.9974,0.9923
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,3982667127,10934675019,2.745566,0.9862,0.9921
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,2176135717,10933989959,5.024498,0.9974,0.9923
libquantum,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,3982069065,10933971057,2.745801,0.9848,0.9921
hmmer,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,16620850295,16620850295,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,16352741089,16352741089,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,16287518031,16287518031,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,16661309727,16661309727,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,16555589581,16555589581,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,16323368125,16323368125,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,16692854154,16692854154,1.000000,0.0000,0.0000
hmmer,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,16331008489,16331008489,1.000000,0.0000,0.0000
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,16271939921,16355544367,1.005138,0.9144,0.6626
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,16325594882,16454329237,1.007885,0.9432,0.9085
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,16500457625,16594786291,1.005717,0.9430,0.8417
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,16361877659,16501057130,1.008506,0.9517,0.8009
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,16196249799,16297100789,1.006227,0.9430,0.8186
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,16384572831,16492933491,1.006614,0.9350,0.7372
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,16475279606,16540588420,1.003964,0.9269,0.7393
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,16266724219,16301137119,1.002116,0.9157,0.6919
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,16362227098,16370782491,1.000523,0.9231,0.0585
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,16313878058,16327464802,1.000833,0.9323,0.0839
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,16587275459,16593523632,1.000377,0.7341,0.0304
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,16347444514,16356003001,1.000524,0.7302,0.0642
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,16691532955,16705923481,1.000862,0.8939,0.0980
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,16547260184,16549961151,1.000163,0.9368,0.0183
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,16366849291,16368320092,1.000090,0.7171,0.0315
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,8440345960,8440345960,1.000000,0.0000,0.0000
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,16681700635,16683172854,1.000088,0.6481,0.0070
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,8323154525,8323154525,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,8324373970,8324373970,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,8528941361,8528941361,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,8345384666,8345384666,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,8295822758,8295822758,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,8321199159,8321199159,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,8341395348,8341395348,1.000000,0.0000,0.0000
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,8281035329,8408744868,1.015422,0.7817,0.5966
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,8156624533,8282075109,1.015380,0.7765,0.7077
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,8187799726,8316693440,1.015742,0.7815,0.5779
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,8155716176,8281005119,1.015362,0.7812,0.7376
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,8248653941,8376696174,1.015523,0.7741,0.5657
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,8104282117,8228927942,1.015380,0.7841,0.7512
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,8328472674,8459110444,1.015686,0.7801,0.5254
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,8412226261,8565285908,1.018195,0.8094,0.5646
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,8306880976,8394124518,1.010503,0.8327,0.4713
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,8226753697,8311864554,1.010346,0.5798,0.5034
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,8236974380,8322299825,1.010359,0.8308,0.4938
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,8188080962,8271925320,1.010240,0.5391,0.5019
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,8226790081,8318138354,1.011104,0.8183,0.4537
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,8189548071,8283283037,1.011446,0.8095,0.5349
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,8317599818,8406202142,1.010652,0.5433,0.3949
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,8307816818,8396336754,1.010655,0.5071,0.5281
